particella,matched_count,foglio_values,national_refs
173,15,1;22;21;18;17;16;15;14;13A;12;10;9;7;5;4,H833_000100.173;H833_002200.173;H833_002100.173;H833_001800.173;H833_001700.173;H833_001600.173;H833_001500.173;H833_001400.173;H833_0013A0.173;H833_001200.173;H833_001000.173;H833_000900.173;H833_000700.173;H833_000500.173;H833_000400.173
383,8,9;24;20;16;14B;13A;12;10,H833_000900.383;H833_002400.383;H833_002000.383;H833_001600.383;H833_0014B0.383;H833_0013A0.383;H833_001200.383;H833_001000.383
391,7,9;24;16;14B;13A;12;10,H833_000900.391;H833_002400.391;H833_001600.391;H833_0014B0.391;H833_0013A0.391;H833_001200.391;H833_001000.391
555,4,10;24;14B;13A,H833_001000.555;H833_002400.555;H833_0014B0.555;H833_0013A0.555
556,4,10;24;14B;13A,H833_001000.556;H833_002400.556;H833_0014B0.556;H833_0013A0.556
557,5,10;24;14;13A;12,H833_001000.557;H833_002400.557;H833_001400.557;H833_0013A0.557;H833_001200.557
558,4,10;14;13A;12,H833_001000.558;H833_001400.558;H833_0013A0.558;H833_001200.558
559,4,10;24;14;13A,H833_001000.559;H833_002400.559;H833_001400.559;H833_0013A0.559
560,4,10;24;14;13A,H833_001000.560;H833_002400.560;H833_001400.560;H833_0013A0.560
561,5,10;24;14;13A;12,H833_001000.561;H833_002400.561;H833_001400.561;H833_0013A0.561;H833_001200.561
562,5,10;24;14;13A;12,H833_001000.562;H833_002400.562;H833_001400.562;H833_0013A0.562;H833_001200.562
563,5,10;24;14;13A;12,H833_001000.563;H833_002400.563;H833_001400.563;H833_0013A0.563;H833_001200.563
564,5,10;24;14;13;12,H833_001000.564;H833_002400.564;H833_001400.564;H833_001300.564;H833_001200.564
565,4,10;14;13;12,H833_001000.565;H833_001400.565;H833_001300.565;H833_001200.565
566,5,10;24;14;13;12,H833_001000.566;H833_002400.566;H833_001400.566;H833_001300.566;H833_001200.566
567,5,10;24;14;13;12,H833_001000.567;H833_002400.567;H833_001400.567;H833_001300.567;H833_001200.567
569,5,10;24;14;13;12,H833_001000.569;H833_002400.569;H833_001400.569;H833_001300.569;H833_001200.569
570,4,10;24;14;13,H833_001000.570;H833_002400.570;H833_001400.570;H833_001300.570
571,4,10;24;14;13,H833_001000.571;H833_002400.571;H833_001400.571;H833_001300.571
572,3,10;14;13,H833_001000.572;H833_001400.572;H833_001300.572
573,4,10;24;14;13,H833_001000.573;H833_002400.573;H833_001400.573;H833_001300.573
575,5,10;24;14B;13;12,H833_001000.575;H833_002400.575;H833_0014B0.575;H833_001300.575;H833_001200.575
576,5,10;24;14B;13;12,H833_001000.576;H833_002400.576;H833_0014B0.576;H833_001300.576;H833_001200.576
580,4,10;14;13;12,H833_001000.580;H833_001400.580;H833_001300.580;H833_001200.580
581,3,10;13;12,H833_001000.581;H833_001300.581;H833_001200.581
582,3,10;13;12,H833_001000.582;H833_001300.582;H833_001200.582
583,4,10;14B;13;12,H833_001000.583;H833_0014B0.583;H833_001300.583;H833_001200.583
585,2,12;13,H833_001200.585;H833_001300.585
587,3,12;14;13,H833_001200.587;H833_001400.587;H833_001300.587
591,3,12;14;13,H833_001200.591;H833_001400.591;H833_001300.591
592,4,10;14;13;12,H833_001000.592;H833_001400.592;H833_001300.592;H833_001200.592
594,4,10;14;13;12,H833_001000.594;H833_001400.594;H833_001300.594;H833_001200.594
595,3,10;13;12,H833_001000.595;H833_001300.595;H833_001200.595
597,3,10;13;12,H833_001000.597;H833_001300.597;H833_001200.597
598,4,10;14;13;12,H833_001000.598;H833_001400.598;H833_001300.598;H833_001200.598
600,4,10;14;13;12,H833_001000.600;H833_001400.600;H833_001300.600;H833_001200.600
601,3,10;13;12,H833_001000.601;H833_001300.601;H833_001200.601
604,3,12;14;13,H833_001200.604;H833_001400.604;H833_001300.604
605,3,10;13;12,H833_001000.605;H833_001300.605;H833_001200.605
606,4,10;14;13;12,H833_001000.606;H833_001400.606;H833_001300.606;H833_001200.606
607,4,10;14;13;12,H833_001000.607;H833_001400.607;H833_001300.607;H833_001200.607
611,4,10;14B;13;12,H833_001000.611;H833_0014B0.611;H833_001300.611;H833_001200.611
612,2,10;13,H833_001000.612;H833_001300.612
613,2,10;13,H833_001000.613;H833_001300.613
614,3,10;14B;13,H833_001000.614;H833_0014B0.614;H833_001300.614
617,2,10;14B,H833_001000.617;H833_0014B0.617
619,3,10;14B;13,H833_001000.619;H833_0014B0.619;H833_001300.619
622,3,10;14B;13,H833_001000.622;H833_0014B0.622;H833_001300.622
623,3,10;14B;13,H833_001000.623;H833_0014B0.623;H833_001300.623
624,3,10;14;13,H833_001000.624;H833_001400.624;H833_001300.624
625,3,10;14;13,H833_001000.625;H833_001400.625;H833_001300.625
626,3,10;14;13,H833_001000.626;H833_001400.626;H833_001300.626
627,3,10;14;13,H833_001000.627;H833_001400.627;H833_001300.627
628,3,10;14;13,H833_001000.628;H833_001400.628;H833_001300.628
635,3,10;14;13,H833_001000.635;H833_001400.635;H833_001300.635
636,3,10;14;13,H833_001000.636;H833_001400.636;H833_001300.636
637,2,10;13,H833_001000.637;H833_001300.637
640,3,10;14;13,H833_001000.640;H833_001400.640;H833_001300.640
641,3,10;14;13,H833_001000.641;H833_001400.641;H833_001300.641
642,3,10;14;13,H833_001000.642;H833_001400.642;H833_001300.642
650,3,10;14B;13,H833_001000.650;H833_0014B0.650;H833_001300.650
651,3,10;14B;13,H833_001000.651;H833_0014B0.651;H833_001300.651
669,2,10;13A,H833_001000.669;H833_0013A0.669
700,3,10;14B;13,H833_001000.700;H833_0014B0.700;H833_001300.700
701,2,10;13,H833_001000.701;H833_001300.701
703,3,10;14;13A,H833_001000.703;H833_001400.703;H833_0013A0.703
707,2,13;14,H833_001300.707;H833_001400.707
726,2,13;14,H833_001300.726;H833_001400.726
736,3,10;14B;13,H833_001000.736;H833_0014B0.736;H833_001300.736
739,3,10;14;13,H833_001000.739;H833_001400.739;H833_001300.739
790,3,10;14;13,H833_001000.790;H833_001400.790;H833_001300.790
802,3,10;14;13,H833_001000.802;H833_001400.802;H833_001300.802
834,3,10;14B;13,H833_001000.834;H833_0014B0.834;H833_001300.834
835,3,10;14B;13,H833_001000.835;H833_0014B0.835;H833_001300.835
836,3,10;14B;13,H833_001000.836;H833_0014B0.836;H833_001300.836
837,3,10;14B;13,H833_001000.837;H833_0014B0.837;H833_001300.837
838,2,13;14B,H833_001300.838;H833_0014B0.838
839,3,10;14B;13,H833_001000.839;H833_0014B0.839;H833_001300.839
840,2,10;13,H833_001000.840;H833_001300.840
841,3,10;14B;13,H833_001000.841;H833_0014B0.841;H833_001300.841
842,3,10;14B;13,H833_001000.842;H833_0014B0.842;H833_001300.842
843,2,10;13,H833_001000.843;H833_001300.843
844,3,10;14B;13,H833_001000.844;H833_0014B0.844;H833_001300.844
853,2,10;13,H833_001000.853;H833_001300.853
854,2,10;13,H833_001000.854;H833_001300.854
855,3,10;14;13,H833_001000.855;H833_001400.855;H833_001300.855
856,3,10;14;13,H833_001000.856;H833_001400.856;H833_001300.856
857,2,10;13,H833_001000.857;H833_001300.857
862,2,10;13,H833_001000.862;H833_001300.862
887,2,13;14,H833_001300.887;H833_001400.887
888,2,13;14,H833_001300.888;H833_001400.888
889,2,13;14,H833_001300.889;H833_001400.889
890,2,13;14,H833_001300.890;H833_001400.890
891,2,13;14,H833_001300.891;H833_001400.891
892,2,13;14,H833_001300.892;H833_001400.892
893,2,13;14,H833_001300.893;H833_001400.893
894,2,13;14,H833_001300.894;H833_001400.894
895,2,13;14B,H833_001300.895;H833_0014B0.895
896,2,13;14,H833_001300.896;H833_001400.896
926,2,13;14B,H833_001300.926;H833_0014B0.926
